Date,Open,High,Low,Close,Adj Close,Volume
2019-05-06,13037.879883,13037.879883,12569.839844,12788.139648,12788.139648,17602830000
2019-05-13,12617.219727,12800.900391,12480.269531,12657.629883,12657.629883,16938710000
2019-05-20,12615.669922,12732.860352,12461.349609,12581.360352,12581.360352,16479450000
2019-05-27,12597.709961,12628.629883,12238.400391,12264.490234,12264.490234,15076270000
2019-06-03,12288.509766,12814.809570,12273.089844,12765.860352,12765.860352,17942620000
2019-06-10,12821.490234,12900.769531,12767.849609,12787.240234,12787.240234,15783900000
2019-06-17,12789.679688,13095.570313,12769.530273,13047.240234,13047.240234,18441710000
2019-06-24,13047.240234,13061.250000,12911.990234,13049.709961,13049.709961,18736050000
2019-07-01,13049.709961,13239.900391,13049.709961,13210.910156,13210.910156,11118040000
2019-07-08,13210.870117,13237.179688,13091.900391,13234.759766,13234.759766,15216580000
2019-07-15,13234.759766,13255.129883,13089.490234,13111.990234,13111.990234,15904160000
2019-07-22,13111.990234,13244.049805,13087.519531,13235.500000,13235.500000,16649220000
2019-07-29,13235.490234,13249.040039,12767.009766,12839.509766,12839.509766,20098430000
2019-08-05,12666.299805,12835.049805,12408.259766,12748.419922,12748.419922,20616730000
2019-08-12,12688.780273,12789.080078,12325.929688,12580.410156,12580.410156,18553910000
2019-08-19,12687.830078,12750.269531,12370.070313,12416.450195,12416.450195,16118550000
2019-08-26,12430.730469,12785.400391,12426.059570,12736.879883,12736.879883,15673290000
2019-09-02,12720.190430,12963.570313,12600.709961,12933.379883,12933.379883,13689030000
2019-09-09,12975.019531,13171.469727,12900.809570,13124.339844,13124.339844,19633130000
2019-09-16,13134.000000,13177.879883,13024.940430,13093.799805,13093.799805,20728050000
2019-09-23,13084.809570,13128.049805,12913.419922,12971.980469,12971.980469,16694510000
2019-09-30,12988.889648,13038.129883,12482.019531,12831.549805,12831.549805,17212640000
2019-10-07,12816.240234,13025.250000,12589.809570,12926.919922,12926.919922,15821120000
2019-10-14,12923.480469,13078.120117,12883.959961,13006.639648,13006.639648,15500580000
2019-10-21,13019.250000,13170.690430,13019.250000,13146.240234,13146.240234,17251350000
2019-10-28,13183.900391,13300.349609,13116.580078,13300.269531,13300.269531,18956670000
2019-11-04,13321.179688,13436.969727,13319.790039,13407.799805,13407.799805,20734960000
2019-11-11,13347.299805,13492.959961,13325.519531,13492.959961,13492.959961,16622540000
2019-11-18,13488.480469,13508.879883,13360.660156,13440.950195,13440.950195,18008990000
2019-11-25,13471.519531,13611.490234,13471.519531,13545.209961,13545.209961,12883230000
2019-12-02,13554.290039,13612.059570,13280.040039,13588.290039,13588.290039,17452390000
2019-12-09,13570.540039,13773.129883,13521.240234,13697.339844,13697.339844,17669880000
2019-12-16,13781.650391,13914.280273,13781.650391,13889.250000,13889.250000,22078130000
2019-12-23,13906.870117,13978.610352,13885.559570,13944.139648,13944.139648,8946500000
2019-12-30,13951.259766,14003.389648,13843.980469,13917.049805,13917.049805,12826640000
2020-01-06,13856.719727,14021.650391,13852.730469,13957.969727,13957.969727,17666700000
2020-01-13,13980.469727,14183.259766,13963.870117,14183.200195,14183.200195,18071600000
2020-01-20,14126.120117,14168.200195,13920.570313,13978.469727,13978.469727,15197180000
2020-01-27,13746.629883,13922.440430,13573.040039,13614.099609,13614.099609,19249400000
2020-02-03,13655.889648,14069.330078,13655.889648,13931.929688,13931.929688,19469980000
2020-02-10,13904.019531,14148.240234,13899.530273,14097.339844,14097.339844,18033560000
2020-02-17,14047.910156,14115.950195,13931.129883,13975.780273,13975.780273,15253460000
2020-02-24,13654.000000,13654.000000,12024.450195,12380.969727,12380.969727,31535270000
2020-03-02,12441.429688,13015.660156,12106.740234,12352.030273,12352.030273,29895510000
2020-03-09,11748.610352,11794.009766,10054.469727,10851.740234,10851.740234,40521170000
2020-03-16,10851.980469,10851.980469,8953.599609,9133.160156,9133.160156,41887220000
2020-03-23,9014.580078,10556.900391,8664.940430,10187.209961,10187.209961,37182690000
2020-03-30,10238.129883,10499.799805,9766.799805,9880.629883,9880.629883,30804590000
2020-04-06,10264.129883,11272.480469,10233.040039,11136.610352,11136.610352,27169090000
2020-04-13,11136.610352,11241.230469,10718.129883,11208.290039,11208.290039,27017230000
2020-04-20,11016.879883,11181.809570,10667.290039,11017.900391,11017.900391,26476650000
2020-04-27,11106.030273,11675.299805,11011.459961,11058.570313,11058.570313,28763560000
2020-05-04,10965.769531,11360.110352,10900.389648,11354.339844,11354.339844,24736450000
2020-05-11,11244.250000,11345.429688,10551.549805,10947.320313,10947.320313,27177120000
2020-05-18,11282.889648,11477.330078,11247.290039,11331.969727,11331.969727,25246330000
2020-05-25,11636.540039,11939.740234,11590.309570,11802.950195,11802.950195,24886040000
2020-06-01,11799.919922,12752.139648,11781.879883,12641.440430,12641.440430,30895920000
